Utterance	Intent	Orchestration Name
Do you get hurt?	BodyQuestion	ChitChat
Do you have fingers?	BodyQuestion	ChitChat
Do you ever breathe	BodyQuestion	ChitChat
Do you masticate?	BodyQuestion	ChitChat
Can you throw up?	BodyQuestion	ChitChat
Do you get tired?	BodyQuestion	ChitChat
Can you crawl?	BodyQuestion	ChitChat
Can you cry?	BodyQuestion	ChitChat
Do you dream	BodyQuestion	ChitChat
Do you ever pee?	BodyQuestion	ChitChat
Do you ever get hurt?	BodyQuestion	ChitChat
Can you breathe	BodyQuestion	ChitChat
can you masticate?	BodyQuestion	ChitChat
Can you burp?	BodyQuestion	ChitChat
Can you chew?	BodyQuestion	ChitChat
Can you dream	BodyQuestion	ChitChat
Can you eat?	BodyQuestion	ChitChat
Can you fart?	BodyQuestion	ChitChat
Do you breathe	BodyQuestion	ChitChat
Can you get tired?	BodyQuestion	ChitChat
Can you yawn?	BodyQuestion	ChitChat
Can you pee?	BodyQuestion	ChitChat
Can you poop?	BodyQuestion	ChitChat
Can you sneeze?	BodyQuestion	ChitChat
Can you sweat?	BodyQuestion	ChitChat
Can you vomit?	BodyQuestion	ChitChat
Can you get hurt?	BodyQuestion	ChitChat
Do you sweat?	BodyQuestion	ChitChat
Do you have skin?	BodyQuestion	ChitChat
Do you have teeth?	BodyQuestion	ChitChat
Do you have toes?	BodyQuestion	ChitChat
Do you pee?	BodyQuestion	ChitChat
Do you poop?	BodyQuestion	ChitChat
Do you ever get tired?	BodyQuestion	ChitChat
Do you sneeze?	BodyQuestion	ChitChat
Do you have hair?	BodyQuestion	ChitChat
Do you throw up?	BodyQuestion	ChitChat
Do you vomit?	BodyQuestion	ChitChat
Do you yawn?	BodyQuestion	ChitChat
Don't you ever masticate?	BodyQuestion	ChitChat
Don't you ever sleep?	BodyQuestion	ChitChat
Do you have a stomach?	BodyQuestion	ChitChat
Do you have intestines?	BodyQuestion	ChitChat
Do you sleep?	BodyQuestion	ChitChat
Do you ever poop?	BodyQuestion	ChitChat
Do you ever sneeze?	BodyQuestion	ChitChat
Do you ever sweat?	BodyQuestion	ChitChat
Do you ever throw up?	BodyQuestion	ChitChat
Do you ever vomit?	BodyQuestion	ChitChat
Do you ever walk	BodyQuestion	ChitChat
Do you ever yawn?	BodyQuestion	ChitChat
Do you have lungs?	BodyQuestion	ChitChat
Do you have legs?	BodyQuestion	ChitChat
Do you get zits?	BodyQuestion	ChitChat
Do you have a liver?	BodyQuestion	ChitChat
Do you have arms?	BodyQuestion	ChitChat
Do you have eyes?	BodyQuestion	ChitChat
Do you have fingernails?	BodyQuestion	ChitChat
Do you have bowels?	BodyQuestion	ChitChat
Do you fart?	BodyQuestion	ChitChat
Do you ever chew?	BodyQuestion	ChitChat
Do you burp?	BodyQuestion	ChitChat
Do you chew?	BodyQuestion	ChitChat
Do you crawl?	BodyQuestion	ChitChat
Do you cry?	BodyQuestion	ChitChat
Do you eat?	BodyQuestion	ChitChat
do you ever masticate?	BodyQuestion	ChitChat
Do you ever burp?	BodyQuestion	ChitChat
Can you walk?	BodyQuestion	ChitChat
Do you ever crawl?	BodyQuestion	ChitChat
Do you ever cry?	BodyQuestion	ChitChat
Do you ever dream	BodyQuestion	ChitChat
Do you ever eat?	BodyQuestion	ChitChat
Do you ever fart?	BodyQuestion	ChitChat
That is so boring	Boring	ChitChat
I'm so bored of you	Boring	ChitChat
