Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Do you get hurt?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have fingers?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever breathe	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you masticate?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you throw up?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you get tired?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you crawl?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you cry?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you dream	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever pee?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever get hurt?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you breathe	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
can you masticate?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you burp?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you chew?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you dream	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you eat?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you fart?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you breathe	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you get tired?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you yawn?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you pee?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you poop?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you sneeze?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you sweat?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you vomit?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you get hurt?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you sweat?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have skin?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have teeth?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have toes?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you pee?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you poop?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever get tired?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you sneeze?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have hair?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you throw up?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you vomit?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you yawn?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Don't you ever masticate?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Don't you ever sleep?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have a stomach?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have intestines?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you sleep?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever poop?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever sneeze?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever sweat?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever throw up?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever vomit?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever walk	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever yawn?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have lungs?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have legs?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you get zits?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have a liver?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have arms?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have eyes?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have fingernails?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you have bowels?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you fart?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever chew?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you burp?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you chew?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you crawl?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you cry?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you eat?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
do you ever masticate?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever burp?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Can you walk?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever crawl?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever cry?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever dream	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever eat?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
Do you ever fart?	ChitChat.BodyQuestion	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	1
That is so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
I'm so bored of you	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're as entertaining as watching paint dry	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
That is not exciting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
U basic	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Could you be any less entertaining?	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're so dull	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're not interesting	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
You're so blah	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
This is so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
Why are you so boring	ChitChat.Boring	qna_chitchat_Professional	editorial:chitchat	[]	False	[]	2
